case	reading	points	E vs Adobe's commit (pt)	drawing vs bilinear onto E (pt)	fits
src-keys01	inverse bilinear in the source quad	90	1.25	1.25	no
src-keys01	homography from the source quad onto the bounds	90	5.76	5.76	no
src-keys02	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.26e-10	4.89e-10	yes
src-keys02	the source's bounding box, renormalized onto the bounds	90	38.8	38.8	no
src-keys02	inverse bilinear in the source quad	90	1.26e-10	4.89e-10	yes
src-keys02	homography from the source quad onto the bounds	90	1.26e-10	4.89e-10	yes
src-keys03	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.34e-10	6.33e-10	yes
src-keys03	the source's bounding box, renormalized onto the bounds	90	48.5	48.5	no
src-keys03	inverse bilinear in the source quad	90	2.37	2.37	no
src-keys03	homography from the source quad onto the bounds	90	6.57	6.57	no
src-keys04	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.31e-11	4.94e-10	yes
src-keys04	the source's bounding box, renormalized onto the bounds	90	17.3	17.3	no
src-keys04	inverse bilinear in the source quad	90	1.33	1.33	no
src-keys04	homography from the source quad onto the bounds	90	1.33	1.33	no
src-keys05	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.28e-10	6.23e-10	yes
src-keys05	the source's bounding box, renormalized onto the bounds	90	42.2	42.2	no
src-keys05	inverse bilinear in the source quad	90	4.19	4.19	no
src-keys05	homography from the source quad onto the bounds	90	7.62	7.62	no
src-keys06	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.33e-10	4.94e-10	yes
src-keys06	the source's bounding box, renormalized onto the bounds	90	42.2	42.2	no
src-keys06	inverse bilinear in the source quad	90	3.24	3.24	no
src-keys06	homography from the source quad onto the bounds	90	3.24	3.24	no
src-keys07	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.33e-10	5.92e-10	yes
src-keys07	the source's bounding box, renormalized onto the bounds	90	42.2	42.2	no
src-keys07	inverse bilinear in the source quad	90	3.24	3.24	no
src-keys07	homography from the source quad onto the bounds	90	4.85	4.85	no
src-keys12	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.33e-10	6.81e-10	yes
src-keys12	the source's bounding box, renormalized onto the bounds	90	29.2	29.2	no
src-keys12	inverse bilinear in the source quad	90	3.1	3.1	no
src-keys12	homography from the source quad onto the bounds	90	6.66	6.66	no
src-keys13	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.22e-10	4.22e-10	yes
src-keys13	the source's bounding box, renormalized onto the bounds	90	11.8	11.8	no
src-keys13	inverse bilinear in the source quad	90	1.22	1.22	no
src-keys13	homography from the source quad onto the bounds	90	1.22	1.22	no
src-keys14	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	2.77e-11	6.33e-10	yes
src-keys14	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys14	inverse bilinear in the source quad	90	1.91	1.91	no
src-keys14	homography from the source quad onto the bounds	90	1.98	1.98	no
src-keys15	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.36e-10	4.8e-10	yes
src-keys15	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys15	inverse bilinear in the source quad	90	3.36e-10	4.8e-10	yes
src-keys15	homography from the source quad onto the bounds	90	3.36e-10	4.8e-10	yes
src-keys16	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.22e-10	5.61e-10	yes
src-keys16	the source's bounding box, renormalized onto the bounds	90	35.9	35.9	no
src-keys16	inverse bilinear in the source quad	90	3.59	3.59	no
src-keys16	homography from the source quad onto the bounds	90	3.59	3.59	no
src-keys17	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.22e-10	4.73e-10	yes
src-keys17	the source's bounding box, renormalized onto the bounds	90	27.6	27.6	no
src-keys17	inverse bilinear in the source quad	90	3.59	3.59	no
src-keys17	homography from the source quad onto the bounds	90	3.59	3.59	no
src-keys23	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	9.27e-11	6.34e-10	yes
src-keys23	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-keys23	inverse bilinear in the source quad	90	3.27	3.27	no
src-keys23	homography from the source quad onto the bounds	90	6.64	6.64	no
src-keys24	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	7.12e-11	4.9e-10	yes
src-keys24	the source's bounding box, renormalized onto the bounds	90	30.4	30.4	no
src-keys24	inverse bilinear in the source quad	90	2.53	2.53	no
src-keys24	homography from the source quad onto the bounds	90	2.53	2.53	no
src-keys25	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.94e-10	6.08e-10	yes
src-keys25	the source's bounding box, renormalized onto the bounds	90	37.3	37.3	no
src-keys25	inverse bilinear in the source quad	90	5.14	5.14	no
src-keys25	homography from the source quad onto the bounds	90	5.14	5.14	no
src-keys26	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	7.12e-11	4.96e-10	yes
src-keys26	the source's bounding box, renormalized onto the bounds	90	12.5	12.5	no
src-keys26	inverse bilinear in the source quad	90	0.887	0.887	no
src-keys26	homography from the source quad onto the bounds	90	0.887	0.887	no
src-keys27	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.93e-11	6.41e-10	yes
src-keys27	the source's bounding box, renormalized onto the bounds	90	38.8	38.8	no
src-keys27	inverse bilinear in the source quad	90	7.8	7.8	no
src-keys27	homography from the source quad onto the bounds	90	11.3	11.3	no
src-keys34	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
src-keys34	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys34	inverse bilinear in the source quad	90	5.78	5.78	no
src-keys34	homography from the source quad onto the bounds	90	8.17	8.17	no
src-keys35	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.8e-10	4.92e-10	yes
src-keys35	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys35	inverse bilinear in the source quad	90	5.78	5.78	no
src-keys35	homography from the source quad onto the bounds	90	5.78	5.78	no
src-keys36	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
src-keys36	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys36	inverse bilinear in the source quad	90	7.03	7.03	no
src-keys36	homography from the source quad onto the bounds	90	5.07	5.07	no
src-keys37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-keys37	the source's bounding box, renormalized onto the bounds	90	31.2	31.2	no
src-keys37	inverse bilinear in the source quad	90	2.42	2.42	no
src-keys37	homography from the source quad onto the bounds	90	2.42	2.42	no
src-keys45	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.45e-11	5.93e-10	yes
src-keys45	the source's bounding box, renormalized onto the bounds	90	49.2	49.2	no
src-keys45	inverse bilinear in the source quad	90	9.44	9.44	no
src-keys45	homography from the source quad onto the bounds	90	18.4	18.4	no
src-keys46	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
src-keys46	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-keys46	inverse bilinear in the source quad	90	1.81	1.81	no
src-keys46	homography from the source quad onto the bounds	90	1.81	1.81	no
src-keys47	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
src-keys47	the source's bounding box, renormalized onto the bounds	90	37	37	no
src-keys47	inverse bilinear in the source quad	90	5.44	5.44	no
src-keys47	homography from the source quad onto the bounds	90	6.64	6.64	no
src-keys56	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	2.94e-10	6.25e-10	yes
src-keys56	the source's bounding box, renormalized onto the bounds	90	45.4	45.4	no
src-keys56	inverse bilinear in the source quad	90	7.12	7.12	no
src-keys56	homography from the source quad onto the bounds	90	10.7	10.7	no
src-keys57	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.5e-11	4.76e-10	yes
src-keys57	the source's bounding box, renormalized onto the bounds	90	19.4	19.4	no
src-keys57	inverse bilinear in the source quad	90	2.23	2.23	no
src-keys57	homography from the source quad onto the bounds	90	2.23	2.23	no
src-keys67	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
src-keys67	the source's bounding box, renormalized onto the bounds	90	32.9	32.9	no
src-keys67	inverse bilinear in the source quad	90	0.947	0.947	no
src-keys67	homography from the source quad onto the bounds	90	4.65	4.65	no
convex-identity	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.73e-10	yes
convex-identity	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-identity	inverse bilinear in the source quad	90	22.4	22.4	no
convex-identity	homography from the source quad onto the bounds	90	38	38	no
convex-general	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.44e-10	6.08e-10	yes
convex-general	the source's bounding box, renormalized onto the bounds	90	46.8	46.8	no
convex-general	inverse bilinear in the source quad	90	13.6	13.6	no
convex-general	homography from the source quad onto the bounds	90	15.9	15.9	no
convex-dst-key0+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.86e-10	6.23e-10	yes
convex-dst-key0+37	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-key0+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key0+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key1+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.89e-10	6.43e-10	yes
convex-dst-key1+37	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-key1+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key1+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key2+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	6.53e-10	6.53e-10	yes
convex-dst-key2+37	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-key2+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key2+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key3+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	6.13e-10	6.68e-10	yes
convex-dst-key3+37	the source's bounding box, renormalized onto the bounds	90	42.5	42.5	no
convex-dst-key3+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key3+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key4+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.73e-10	yes
convex-dst-key4+37	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-key4+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key4+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key5+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	6.74e-10	yes
convex-dst-key5+37	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-key5+37	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-key5+37	homography from the source quad onto the bounds	90	38	38	no
convex-dst-key6+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	6.22e-10	yes
convex-dst-key6+37	the source's bounding box, renormalized onto the bounds	90	50.8	50.8	no
convex-dst-key6+37	inverse bilinear in the source quad	90	33.1	33.1	no
convex-dst-key6+37	homography from the source quad onto the bounds	90	71.3	71.3	no
convex-dst-key7+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.47e-10	yes
convex-dst-key7+37	the source's bounding box, renormalized onto the bounds	90	36	36	no
convex-dst-key7+37	inverse bilinear in the source quad	90	11.2	11.2	no
convex-dst-key7+37	homography from the source quad onto the bounds	90	17	17	no
convex-dst-corner0-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	4.6e-10	5.96e-10	yes
convex-dst-corner0-diagonal	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-corner0-diagonal	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner0-diagonal	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner0-at-corner3	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.86e-10	6.26e-10	yes
convex-dst-corner0-at-corner3	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-corner0-at-corner3	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner0-at-corner3	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner1-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.67e-10	yes
convex-dst-corner1-diagonal	the source's bounding box, renormalized onto the bounds	90	47.6	47.6	no
convex-dst-corner1-diagonal	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner1-diagonal	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner1-at-corner2	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.81e-10	yes
convex-dst-corner1-at-corner2	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-corner1-at-corner2	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner1-at-corner2	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner2-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	6.73e-10	yes
convex-dst-corner2-diagonal	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-corner2-diagonal	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner2-diagonal	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner2-at-corner1	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	6.62e-10	yes
convex-dst-corner2-at-corner1	the source's bounding box, renormalized onto the bounds	90	42.1	42.1	no
convex-dst-corner2-at-corner1	inverse bilinear in the source quad	90	22.4	22.4	no
convex-dst-corner2-at-corner1	homography from the source quad onto the bounds	90	38	38	no
convex-dst-corner3-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	6.08e-10	6.91e-10	yes
convex-dst-corner3-diagonal	the source's bounding box, renormalized onto the bounds	90	38.8	38.8	no
convex-dst-corner3-diagonal	inverse bilinear in the source quad	90	16.1	16.1	no
convex-dst-corner3-diagonal	homography from the source quad onto the bounds	90	45	45	no
convex-dst-corner3-at-corner0	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	5.47e-10	5.57e-10	yes
convex-dst-corner3-at-corner0	the source's bounding box, renormalized onto the bounds	90	36	36	no
convex-dst-corner3-at-corner0	inverse bilinear in the source quad	90	8.92	8.92	no
convex-dst-corner3-at-corner0	homography from the source quad onto the bounds	90	16.4	16.4	no
trapezoid-identity	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
trapezoid-identity	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-identity	inverse bilinear in the source quad	90	1.42e-14	3.33e-10	yes
trapezoid-identity	homography from the source quad onto the bounds	90	1.27e-13	3.33e-10	yes
trapezoid-general	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.33e-10	4.71e-10	yes
trapezoid-general	the source's bounding box, renormalized onto the bounds	90	127	127	no
trapezoid-general	inverse bilinear in the source quad	90	20	20	no
trapezoid-general	homography from the source quad onto the bounds	90	53.9	53.9	no
trapezoid-dst-key0+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.33e-11	4.44e-10	yes
trapezoid-dst-key0+37	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-key0+37	inverse bilinear in the source quad	90	3.33e-11	4.44e-10	yes
trapezoid-dst-key0+37	homography from the source quad onto the bounds	90	3.34e-11	4.45e-10	yes
trapezoid-dst-key1+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-key1+37	the source's bounding box, renormalized onto the bounds	90	118	118	no
trapezoid-dst-key1+37	inverse bilinear in the source quad	90	16.7	16.7	no
trapezoid-dst-key1+37	homography from the source quad onto the bounds	90	37.3	37.3	no
trapezoid-dst-key2+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.33e-10	4.44e-10	yes
trapezoid-dst-key2+37	the source's bounding box, renormalized onto the bounds	90	125	125	no
trapezoid-dst-key2+37	inverse bilinear in the source quad	90	3.33e-10	4.44e-10	yes
trapezoid-dst-key2+37	homography from the source quad onto the bounds	90	3.33e-10	4.44e-10	yes
trapezoid-dst-key3+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-key3+37	the source's bounding box, renormalized onto the bounds	90	118	118	no
trapezoid-dst-key3+37	inverse bilinear in the source quad	90	16.7	16.7	no
trapezoid-dst-key3+37	homography from the source quad onto the bounds	90	37.3	37.3	no
trapezoid-dst-key4+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
trapezoid-dst-key4+37	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-key4+37	inverse bilinear in the source quad	90	1.42e-14	3.33e-10	yes
trapezoid-dst-key4+37	homography from the source quad onto the bounds	90	1.27e-13	3.33e-10	yes
trapezoid-dst-key5+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-key5+37	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-key5+37	inverse bilinear in the source quad	90	6.51	6.51	no
trapezoid-dst-key5+37	homography from the source quad onto the bounds	90	14.6	14.6	no
trapezoid-dst-key6+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	3.33e-10	yes
trapezoid-dst-key6+37	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-key6+37	inverse bilinear in the source quad	90	1.42e-14	3.33e-10	yes
trapezoid-dst-key6+37	homography from the source quad onto the bounds	90	1.27e-13	3.33e-10	yes
trapezoid-dst-key7+37	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-key7+37	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-key7+37	inverse bilinear in the source quad	90	6.51	6.51	no
trapezoid-dst-key7+37	homography from the source quad onto the bounds	90	14.6	14.6	no
trapezoid-dst-corner0-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	7.11e-15	4.71e-10	yes
trapezoid-dst-corner0-diagonal	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-corner0-diagonal	inverse bilinear in the source quad	90	12.6	12.6	no
trapezoid-dst-corner0-diagonal	homography from the source quad onto the bounds	90	35.6	35.6	no
trapezoid-dst-corner0-at-corner3	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-corner0-at-corner3	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-corner0-at-corner3	inverse bilinear in the source quad	90	0	4.71e-10	yes
trapezoid-dst-corner0-at-corner3	homography from the source quad onto the bounds	90	1.27e-13	4.71e-10	yes
trapezoid-dst-corner1-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	1.14e-13	3.33e-10	yes
trapezoid-dst-corner1-diagonal	the source's bounding box, renormalized onto the bounds	90	148	148	no
trapezoid-dst-corner1-diagonal	inverse bilinear in the source quad	90	20.8	20.8	no
trapezoid-dst-corner1-diagonal	homography from the source quad onto the bounds	90	39.3	39.3	no
trapezoid-dst-corner1-at-corner2	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	0	4.71e-10	yes
trapezoid-dst-corner1-at-corner2	the source's bounding box, renormalized onto the bounds	90	100	100	no
trapezoid-dst-corner1-at-corner2	inverse bilinear in the source quad	90	1.42e-14	4.71e-10	yes
trapezoid-dst-corner1-at-corner2	homography from the source quad onto the bounds	90	7.11e-14	4.71e-10	yes
trapezoid-dst-corner2-diagonal	Adobe: frame from top-left, top-right h, bottom-left v; corner offsets subtracted from the bounds	90	3.33e-10	5.56e-10	yes
