operation	description	index	ah	av	lh	lv	rh	rv
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	10	144.048861834	136.426741143	144.048861834	136.426741143	144.048861834	136.426741143
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	11	100	135.374042183	100	135.374042183	100	135.374042183
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	12	100	182.575912798	100	182.575912798	100	182.575912798
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	13	145.751541949	185.128284564	145.751541949	185.128284564	145.751541949	185.128284564
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	14	204.530564493	188.407429073	204.530564493	188.407429073	204.530564493	188.407429073
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	15	257.086953237	191.339427363	257.086953237	191.339427363	257.086953237	191.339427363
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	16	336.807580175	195.786855115	336.807580175	195.786855115	336.807580175	195.786855115
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	17	424.688952181	200.689551791	424.688952181	200.689551791	424.688952181	200.689551791
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	18	443.536875496	277.557494052	443.536875496	277.557494052	443.536875496	277.557494052
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	19	349.847871878	268.435922298	349.847871878	268.435922298	349.847871878	268.435922298
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	20	265.314591913	260.20575281	265.314591913	260.20575281	265.314591913	260.20575281
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	21	209.820852411	254.802876195	209.820852411	254.802876195	209.820852411	254.802876195
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	22	147.976963969	248.781748376	147.976963969	248.781748376	147.976963969	248.781748376
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	23	100	244.110705857	100	244.110705857	100	244.110705857
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	24	100	300	100	300	100	300
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	25	150.003847634	306.756444786	150.003847634	306.756444786	150.003847634	306.756444786
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	26	214.656486101	315.492212188	214.656486101	315.492212188	214.656486101	315.492212188
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	27	272.85937552	323.356499185	272.85937552	323.356499185	272.85937552	323.356499185
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	28	361.86462951	335.382755419	361.86462951	335.382755419	361.86462951	335.382755419
ft-ctrl	Free Transform mode, top-right corner dragged right with Ctrl held after the drag began	29	461	348.777777778	461	348.777777778	461	348.777777778
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	0	7	5.333333333	7	5.333333333	7	5.333333333
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	1	72.5	21.111111111	72.5	21.111111111	72.5	21.111111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	2	151.1	40.044444444	151.1	40.044444444	151.1	40.044444444
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	3	216.6	55.822222222	216.6	55.822222222	216.6	55.822222222
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	4	308.3	77.911111111	308.3	77.911111111	308.3	77.911111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	5	400	100	400	100	400	100
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	6	418.6	158.933333333	418.6	158.933333333	418.6	158.933333333
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	7	326.9	136.844444444	326.9	136.844444444	326.9	136.844444444
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	8	235.2	114.755555556	235.2	114.755555556	235.2	114.755555556
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	9	169.7	98.977777778	169.7	98.977777778	169.7	98.977777778
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	10	91.1	80.044444444	91.1	80.044444444	91.1	80.044444444
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	11	25.6	64.266666667	25.6	64.266666667	25.6	64.266666667
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	12	48.85	137.933333333	48.85	137.933333333	48.85	137.933333333
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	13	114.35	153.711111111	114.35	153.711111111	114.35	153.711111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	14	192.95	172.644444444	192.95	172.644444444	192.95	172.644444444
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	15	258.45	188.422222222	258.45	188.422222222	258.45	188.422222222
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	16	350.15	210.511111111	350.15	210.511111111	350.15	210.511111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	17	441.85	232.6	441.85	232.6	441.85	232.6
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	18	469.75	321	469.75	321	469.75	321
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	19	378.05	298.911111111	378.05	298.911111111	378.05	298.911111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	20	286.35	276.822222222	286.35	276.822222222	286.35	276.822222222
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	21	220.85	261.044444444	220.85	261.044444444	220.85	261.044444444
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	22	142.25	242.111111111	142.25	242.111111111	142.25	242.111111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	23	76.75	226.333333333	76.75	226.333333333	76.75	226.333333333
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	24	100	300	100	300	100	300
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	25	165.5	315.777777778	165.5	315.777777778	165.5	315.777777778
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	26	244.1	334.711111111	244.1	334.711111111	244.1	334.711111111
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	27	309.6	350.488888889	309.6	350.488888889	309.6	350.488888889
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	28	401.3	372.577777778	401.3	372.577777778	401.3	372.577777778
ft-ctrl-alt	Free Transform mode, top-right corner dragged right with Ctrl+Alt held after the drag began	29	493	394.666666667	493	394.666666667	493	394.666666667
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	0	100	99.999996609	100	99.999996609	100	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	1	150	99.999996609	150	99.999996609	150	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	2	210	99.999996609	210	99.999996609	210	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	3	260	99.999996609	260	99.999996609	260	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	4	330	99.999996609	330	99.999996609	330	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	5	400	99.999996609	400	99.999996609	400	99.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	6	412.220982143	133.482139466	412.220982143	133.482139466	412.220982143	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	7	339.369419643	133.482139466	339.369419643	133.482139466	339.369419643	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	8	266.517857143	133.482139466	266.517857143	133.482139466	266.517857143	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	9	214.481026786	133.482139466	214.481026786	133.482139466	214.481026786	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	10	152.036830357	133.482139466	152.036830357	133.482139466	152.036830357	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	11	100	133.482139466	100	133.482139466	100	133.482139466
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	12	100	179.376742163	100	179.376742163	100	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	13	154.828752021	179.376742163	154.828752021	179.376742163	154.828752021	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	14	220.623254447	179.376742163	220.623254447	179.376742163	220.623254447	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	15	275.452006468	179.376742163	275.452006468	179.376742163	275.452006468	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	16	352.212259297	179.376742163	352.212259297	179.376742163	352.212259297	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	17	428.972512127	179.376742163	428.972512127	179.376742163	428.972512127	179.376742163
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	18	451.610369207	241.398268408	451.610369207	241.398268408	451.610369207	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	19	369.567949725	241.398268408	369.567949725	241.398268408	369.567949725	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	20	287.525530244	241.398268408	287.525530244	241.398268408	287.525530244	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	21	228.923802042	241.398268408	228.923802042	241.398268408	228.923802042	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	22	158.601728201	241.398268408	158.601728201	241.398268408	158.601728201	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	23	100	241.398268408	100	241.398268408	100	241.398268408
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	24	100	299.999996609	100	299.999996609	100	299.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	25	162.166666667	299.999996609	162.166666667	299.999996609	162.166666667	299.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	26	236.766666667	299.999996609	236.766666667	299.999996609	236.766666667	299.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	27	298.933333333	299.999996609	298.933333333	299.999996609	298.933333333	299.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	28	385.966666667	299.999996609	385.966666667	299.999996609	385.966666667	299.999996609
ft-ctrl-shift	Free Transform mode, top-right corner dragged right and a little up with Ctrl+Shift held after the drag began	29	473	299.999996609	473	299.999996609	473	299.999996609
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	0	100	100	100	100	100	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	1	150	100	150	100	150	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	2	210	100	210	100	210	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	3	260	100	260	100	260	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	4	330	100	330	100	330	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	5	400	100	400	100	400	100
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	6	410.770852576	128.511090585	410.770852576	128.511090585	410.770852576	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	7	335.744454707	128.511090585	335.744454707	128.511090585	335.744454707	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	8	260.718056838	128.511090585	260.718056838	128.511090585	260.718056838	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	9	207.127772646	128.511090585	207.127772646	128.511090585	207.127772646	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	10	142.819431616	128.511090585	142.819431616	128.511090585	142.819431616	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	11	89.229147424	128.511090585	89.229147424	128.511090585	89.229147424	128.511090585
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	12	73.375877555	170.47564354	73.375877555	170.47564354	73.375877555	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	13	132.250585037	170.47564354	132.250585037	170.47564354	132.250585037	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	14	202.900234015	170.47564354	202.900234015	170.47564354	202.900234015	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	15	261.774941496	170.47564354	261.774941496	170.47564354	261.774941496	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	16	344.199531971	170.47564354	344.199531971	170.47564354	344.199531971	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	17	426.624122445	170.47564354	426.624122445	170.47564354	426.624122445	170.47564354
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	18	450.32893132	233.22368956	450.32893132	233.22368956	450.32893132	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	19	356.842096704	233.22368956	356.842096704	233.22368956	356.842096704	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	20	263.355262088	233.22368956	263.355262088	233.22368956	263.355262088	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	21	196.578951648	233.22368956	196.578951648	233.22368956	196.578951648	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	22	116.44737912	233.22368956	116.44737912	233.22368956	116.44737912	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	23	49.67106868	233.22368956	49.67106868	233.22368956	49.67106868	233.22368956
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	24	24.444471571	300	24.444471571	300	24.444471571	300
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	25	99.629647714	300	99.629647714	300	99.629647714	300
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	26	189.851859086	300	189.851859086	300	189.851859086	300
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	27	265.037035229	300	265.037035229	300	265.037035229	300
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	28	370.296281829	300	370.296281829	300	370.296281829	300
ft-ctrl-alt-shift	Free Transform mode, top-right corner dragged right with Ctrl+Alt+Shift held after the drag began	29	475.555528429	300	475.555528429	300	475.555528429	300
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	0	100	100	100	100	100	100
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	1	175	110	175	110	175	110
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	2	247.321428571	119.642857143	247.321428571	119.642857143	247.321428571	119.642857143
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	3	296.721311475	126.229508197	296.721311475	126.229508197	296.721311475	126.229508197
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	4	353.676470588	133.823529412	353.676470588	133.823529412	353.676470588	133.823529412
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	5	400	140	400	140	400	140
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	6	400	164	400	164	400	164
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	7	353.676470588	160.294117647	353.676470588	160.294117647	353.676470588	160.294117647
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	8	296.721311475	155.737704918	296.721311475	155.737704918	296.721311475	155.737704918
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	9	247.321428571	151.785714286	247.321428571	151.785714286	247.321428571	151.785714286
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	10	175	146	175	146	175	146
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	11	100	140	100	140	100	140
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	12	100	190	100	190	100	190
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	13	175	191	175	191	175	191
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	14	247.321428571	191.964285714	247.321428571	191.964285714	247.321428571	191.964285714
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	15	296.721311475	192.62295082	296.721311475	192.62295082	296.721311475	192.62295082
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	16	353.676470588	193.382352941	353.676470588	193.382352941	353.676470588	193.382352941
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	17	400	194	400	194	400	194
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	18	400	230	400	230	400	230
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	19	353.676470588	233.088235294	353.676470588	233.088235294	353.676470588	233.088235294
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	20	296.721311475	236.885245902	296.721311475	236.885245902	296.721311475	236.885245902
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	21	247.321428571	240.178571429	247.321428571	240.178571429	247.321428571	240.178571429
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	22	175	245	175	245	175	245
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	23	100	250	100	250	100	250
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	24	100	300	100	300	100	300
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	25	175	290	175	290	175	290
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	26	247.321428571	280.357142857	247.321428571	280.357142857	247.321428571	280.357142857
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	27	296.721311475	273.770491803	296.721311475	273.770491803	296.721311475	273.770491803
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	28	353.676470588	266.176470588	353.676470588	266.176470588	353.676470588	266.176470588
widget-perspective-down	Perspective Distort widget mode, top-right corner dragged mostly downward, no modifier	29	400	260	400	260	400	260
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	0	100	100	100	100	100	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	1	142.860120909	100	142.860120909	100	142.860120909	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	2	197.638475154	100	197.638475154	100	197.638475154	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	3	246.347539817	100	246.347539817	100	246.347539817	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	4	319.749988382	100	319.749988382	100	319.749988382	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	5	400	100	400	100	400	100
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	6	407.661612131	144.114126097	407.661612131	144.114126097	407.661612131	144.114126097
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	7	325.105917075	142.100252297	325.105917075	142.100252297	325.105917075	142.100252297
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	8	249.758718019	140.262223436	249.758718019	140.262223436	249.758718019	140.262223436
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	9	199.845481436	139.044633791	199.845481436	139.044633791	199.845481436	139.044633791
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	10	143.794998509	137.677331402	143.794998509	137.677331402	143.794998509	137.677331402
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	11	100	136.60899081	100	136.60899081	100	136.60899081
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	12	100	184.611786717	100	184.611786717	100	184.611786717
widget-free-distort	Free Distort widget mode, top-right corner dragged right and up, no modifier	13	145.022555074	187.150177375	145.022555074	187.150177375	145.022555074	187.150177375
