case	fixture	stored source	stored destination	committed source	committed destination	commit changed the drawing
trapezoid-dst-key4+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,137,100,400,100	100,300,400,300,100,100,400,100	0,300,500,300,137,100,400,100	no
trapezoid-dst-key5+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,137,400,100	100,300,400,300,100,100,400,100	0,300,500,300,81.5,137,400,100	no
trapezoid-dst-key6+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,100,437,100	100,300,400,300,100,100,400,100	0,300,500,300,100,100,437,100	no
trapezoid-dst-key7+37	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,100,400,137	100,300,400,300,100,100,400,100	0,300,500,300,100,100,418.5,137	no
trapezoid-dst-corner0-diagonal	EFD.grid('fx')	160,300,340,300,100,100,400,100	137,337,400,300,100,100,400,100	100,300,400,300,100,100,400,100	47.73,337,500,300,100,100,400,100	no
trapezoid-dst-corner0-at-corner3	EFD.grid('fx')	160,300,340,300,100,100,400,100	400,100,400,300,100,100,400,100	100,300,400,300,100,100,400,100	400,100,500,300,100,100,400,100	no
trapezoid-dst-corner1-diagonal	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,437,337,100,100,400,100	100,300,400,300,100,100,400,100	0,300,584.73,337,100,100,400,100	no
trapezoid-dst-corner1-at-corner2	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,100,100,100,100,400,100	100,300,400,300,100,100,400,100	0,300,100,100,100,100,400,100	no
trapezoid-dst-corner2-diagonal	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,137,137,400,100	100,300,400,300,100,100,400,100	0,300,500,300,123.063333333,137,400,100	no
trapezoid-dst-corner2-at-corner1	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,400,300,400,100	100,300,400,300,100,100,400,100	0,300,500,300,500,300,400,100	no
trapezoid-dst-corner3-diagonal	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,100,437,137	100,300,400,300,100,100,400,100	0,300,500,300,100,100,460.063333333,137	no
trapezoid-dst-corner3-at-corner0	EFD.grid('fx')	160,300,340,300,100,100,400,100	100,300,400,300,100,100,100,300	100,300,400,300,100,100,400,100	0,300,500,300,100,100,0,300	no
parallelogram-general	EFD.grid('fx')	140,300,440,300,100,100,400,100	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	80,350,412,290,74,80,364,130	no
concave-identity	EFD.grid('fx')	100,300,400,300,100,100,250,220	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,550,-20	no
concave-general	EFD.grid('fx')	100,300,400,300,100,100,250,220	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	126.25,353,458.75,283,53.5,93.2,484.75,38.2	no
bow-tie-identity	EFD.grid('fx')	400,300,100,300,100,100,400,100	100,300,400,300,100,100,400,100	100,300,400,300,100,100,400,100	400,300,100,300,100,100,400,100	no
far-convex-general	EFD.grid('fx')	1090,1320,1420,1280,1130,1090,1380,1120	130,350,450,290,70,80,370,130	100,300,400,300,100,100,400,100	-1922.92490119,198.972332016,-1355.75757576,-65.2700922266,-2376.04743083,264.584980237,-1664.58498024,-31.8577075099	no
random-00	EFD.grid('fx')	34.1523634708,251.090631797,372.819488967,286.985739054,172.263568413,158.379055848,339.678474152,177.24036984	81.0005725739,310.087876911,331.940632421,339.931505332,83.0583854034,147.604414703,451.196481265,40.2743626573	100,300,400,300,100,100,400,100	214.311872775,420.805653207,351.839090215,445.735220695,16.7642892836,74.3188015693,634.907642202,-151.284037906	no
random-01	EFD.grid('fx')	153.06486136,226.53616831,391.507504243,241.975763003,78.3934615824,112.508622898,475.566203145,155.985460941	6.43327459993,237.511892262,485.111339104,254.55068669,60.8928758003,97.503905975,432.225722043,84.6421214215	100,300,400,300,100,100,400,100	-101.069750531,327.086070604,553.729550215,337.228111748,137.962311512,91.9147877543,312.898739799,-7.79997631873	no
random-02	EFD.grid('fx')	83.7732712476,337.653199936,432.880216815,314.523964941,33.5404493723,71.6184198352,406.852811019,68.2900742666	7.33249225064,319.36083246,335.070095134,272.033682965,141.380063603,161.633565538,406.910008801,161.088221036	100,300,400,300,100,100,400,100	38.1301243158,281.481853992,324.040902432,263.801862134,180.09696383,169.326475652,396.152117757,176.506310434	no
random-03	EFD.grid('fx')	178.080847188,297.10897792,410.615408314,357.629616995,84.8996104602,169.077237467,348.44823928,101.643740573	44.4055358155,296.042535033,377.298899217,352.817568254,187.862480706,170.047406,435.6575865,183.496666599	100,300,400,300,100,100,400,100	-71.5339763826,332.512433097,328.03398852,287.475595361,203.800006858,104.31133638,484.509532946,181.257727706	no
random-04	EFD.grid('fx')	162.289723895,337.8388088,368.171933018,328.793508387,25.2033149475,46.433220071,338.679040754,101.446441524	99.6041966135,229.021787471,320.137211504,353.630994518,80.5656834881,122.424070967,328.601762573,44.7997090615	100,300,400,300,100,100,400,100	72.0821530753,229.844949742,327.047786181,320.435139294,113.825682191,167.361071245,392.793977205,54.1490179704	no
random-05	EFD.grid('fx')	124.481506769,239.218494454,365.559702164,351.60532272,167.387716466,148.150960639,322.814086677,94.6960337808	111.50620082,239.045595303,373.749420361,320.883026682,187.224125577,155.74844552,372.500112128,37.2850862505	100,300,400,300,100,100,400,100	83.7631925165,305.652218741,369.25010221,209.374423185,159.182719962,126.996629899,508.888708454,119.221897158	no
random-06	EFD.grid('fx')	166.962596768,261.258742829,395.337222477,375.265242083,101.134919413,156.734498654,443.667261882,151.647627117	73.037421458,211.461208487,372.43282463,252.102725605,166.20933533,81.929304582,321.488992228,121.981464849	100,300,400,300,100,100,400,100	30.3468134071,228.268788155,366.681421066,189.294101267,212.595278041,-43.432531867,287.779664499,63.7372022931	no
random-07	EFD.grid('fx')	73.9526179684,245.999352125,337.772547834,351.07149011,110.478222636,156.92074648,479.409616813,34.1387632555	143.780902654,366.844874046,324.485684663,367.458548382,159.292104728,102.46577426,414.583926329,143.855751093	100,300,400,300,100,100,400,100	266.698258602,461.696753303,570.795868412,177.887309568,83.402292681,62.5114390892,289.842704134,272.345318226	no
random-08	EFD.grid('fx')	145.217340274,366.281700202,455.942198846,243.193803962,42.6020342962,47.6161679754,434.704847836,147.747008115	69.4390407155,292.390093809,391.469231942,372.773437096,87.7558761685,151.414882742,427.160706896,29.5768962379	100,300,400,300,100,100,400,100	55.2333762887,236.229091172,336.975736657,405.22624587,123.859438009,170.21693155,402.615986677,-13.6434824391	no
random-09	EFD.grid('fx')	34.0452824598,341.414364409,362.753803377,343.779948337,126.826208582,106.928599592,419.349846365,30.0418502884	52.3114075196,276.498074027,350.300649949,334.57377522,146.432438654,187.12552897,305.267429168,170.571647198	100,300,400,300,100,100,400,100	91.5415165967,245.718706218,386.943418746,294.11390714,149.663317789,185.422942555,301.688687259,199.97498478	no
random-10	EFD.grid('fx')	97.5018257264,322.86165883,396.464840209,366.685768062,109.601244819,173.99738982,394.983137583,46.336449993	89.1181303603,262.531924649,394.400321922,220.707684486,79.6817011571,26.4885839198,429.917577901,192.366019912	100,300,400,300,100,100,400,100	86.5293872521,218.226716458,398.880740149,236.098299476,56.4177218487,-115.916887045,436.199801678,243.096487128	no
random-11	EFD.grid('fx')	51.7473337202,375.92703074,439.921556245,226.019319373,59.2188160304,147.887192726,328.258392293,58.2887406826	58.6648172972,357.375435698,476.680847433,351.754468843,184.21956002,8.80728457533,313.25132149,82.3135117452	100,300,400,300,100,100,400,100	104.911060956,286.313520773,441.441725094,435.905099582,255.80627553,-3.95400170415,395.819925726,91.1666767519	no
random-12	EFD.grid('fx')	89.6981317129,316.718067795,380.716923951,347.343042105,64.6670659839,135.042797455,414.060272171,40.0478926394	58.0390335331,220.52169173,365.606805061,271.000836078,14.2604275673,103.47962347,432.870611703,25.8228235998	100,300,400,300,100,100,400,100	83.980222681,190.196347499,376.795657495,250.60660907,69.3746887891,34.9713602286,383.623951616,180.837067221	no
random-13	EFD.grid('fx')	137.264396901,266.34770403,395.911686456,341.218920183,49.7788669308,178.194623961,417.238501728,129.614633	118.254083171,247.720124408,424.69239278,354.626120326,15.8158898427,141.974453135,348.701002471,80.310845785	100,300,400,300,100,100,400,100	98.1267918402,261.323742276,466.864518595,279.698762812,154.651803192,-28.8037863905,342.148714606,29.6933764172	no
random-14	EFD.grid('fx')	59.4244825279,229.669448142,426.868015876,347.02729313,140.473943185,156.591020216,429.225749946,96.7045362651	77.3334482114,324.842079508,449.485115683,228.501828308,94.2521858468,139.322154289,333.600498286,155.185193827	100,300,400,300,100,100,400,100	215.180442667,543.496568339,418.505495404,175.22920797,37.4544569032,62.3849987348,301.090036039,143.382376372	no
random-15	EFD.grid('fx')	39.6038591953,340.686419066,324.139178174,321.027943986,111.134141204,69.3821370087,356.071942465,91.5035077517	199.349457584,338.877863688,340.924719461,208.113708071,19.1111040391,162.949219888,309.243975957,116.064580398	100,300,400,300,100,100,400,100	268.099240434,309.547190523,403.235386372,201.468195129,29.6641117543,169.531211325,356.140813957,120.262601212	no
random-wild-00	EFD.grid('fx')	279.551723148,513.23989819,204.300582294,55.4340434752,274.736509065,285.216238226,338.075986546,289.604302142	153.506106512,547.522344346,335.475505044,330.95376039,-29.3545893297,82.6157471317,256.915263509,297.329822205	100,300,400,300,100,100,400,100	636.677076997,1213.28778698,-36.7629713745,74.4804996882,266.195078961,-1781.48502075,155.328053395,116.690917633	no
random-wild-01	EFD.grid('fx')	-114.700934694,473.767997382,475.303240831,212.394665024,192.001201046,156.040181222,565.982923198,318.882329747	267.492205239,160.514087887,548.586647072,79.2864132343,174.535139522,171.046198402,341.923915731,135.960570809	100,300,400,300,100,100,400,100	129.915331389,1.19965747241,357.990790781,-246.589362271,55.7498008026,39.4380546573,183.848684308,-59.4174397986	no
random-wild-02	EFD.grid('fx')	138.995258878,133.551338214,291.702847621,322.390566427,144.004803427,-71.4327977604,613.226475503,-23.9541782411	39.0690730368,123.330629651,162.206218444,337.271846918,318.843673109,181.771059815,252.803051054,115.757896828	100,300,400,300,100,100,400,100	-86.2317012997,408.984999749,198.389838045,448.710458863,542.186303912,85.482255625,302.669034865,151.048633627	no
random-wild-03	EFD.grid('fx')	90.2793957108,204.981976447,634.985204872,174.009762716,-67.9301911117,210.715274867,598.160249949,-26.4884580749	-102.743025009,135.418252547,237.941838236,364.222421178,-113.370408846,8.78957331124,265.06916262,332.45990811	100,300,400,300,100,100,400,100	-2447.81024135,3602.38578398,3661.59820729,-3693.74980322,-6979.034886,9770.86835038,2847.94226488,-2665.56341558	no
wide-convex-identity	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	240,290,720,250,280,140,680,170	250,270,700,270,250,150,700,150	250,270,700,270,250,150,700,150	254.263888889,254.638888889,686.138888889,283.388888889,223.597222222,157.472222222,715.472222222,133.722222222	no
wide-convex-general	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	240,290,720,250,280,140,680,170	280,320,750,260,220,130,670,180	250,270,700,270,250,150,700,150	294.166666667,298.5,737.125,273.625,185.027777778,143.444444444,676.347222222,171.847222222	no
wide-grid-source-convex	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	90,320,420,280,130,90,380,120	130,350,450,290,70,80,370,130	250,270,700,270,250,150,700,150	308.498023715,291.607378129,747.075098814,288.023715415,175.928853755,146.785243742,654.848484848,155.744400527	no
wide-random-00	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	270.015434301,323.825376324,787.105060544,193.353866084,192.728643824,180.428890949,665.19700676,224.423470704	342.638269627,247.673264392,798.263260475,278.215051414,269.286943623,96.6328735634,590.017008921,77.7173039865	250,270,700,270,250,150,700,150	357.572389976,211.584405643,748.792214887,308.428217451,371.716983958,80.0817048072,708.521747601,-40.514712021	no
wide-random-01	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	162.77597326,227.818350088,714.042526308,241.039138707,280.981957671,84.4490950855,683.400674292,214.180794244	199.572078837,168.004174506,689.058780232,251.778082387,355.875160161,105.561783903,629.343141466,53.3229798793	250,270,700,270,250,150,700,150	234.865827955,215.808544366,675.612245293,296.02141558,351.289216553,128.238507537,640.319199603,-7.26019570724	no
wide-random-02	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	324.974128131,190.70867172,783.402430589,204.958345995,282.332520989,83.6552322952,672.944199034,206.071691507	140.729061375,172.431470394,661.926025968,328.437451519,310.451460467,118.975458564,735.058134825,224.160195433	250,270,700,270,250,150,700,150	71.7691144157,262.661576195,461.767399293,516.196942841,262.8775991,192.339202515,620.263819376,324.985092764	no
wide-random-03	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	190.736654527,180.799449413,720.344098364,325.368302728,293.121720084,220.385759836,662.703609249,145.566339216	226.074635818,188.018547701,766.749313044,191.997501278,188.132086484,235.684925875,795.086859588,177.076485724	250,270,700,270,250,150,700,150	263.30210617,241.139599094,759.701447388,146.316196671,104.741333255,102.837919873,755.96300406,92.769330164	no
wide-random-04	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	199.542827848,339.496593214,721.747277571,275.07155488,212.933556872,215.055570395,698.527091364,219.120740965	341.512851287,328.631020313,663.874330378,295.435366759,317.956201359,181.274483726,607.991732498,240.596620273	250,270,700,270,250,150,700,150	372.039894694,275.411396196,656.914096652,263.233403554,345.570109203,112.286698522,614.089264314,182.445063169	no
wide-random-05	EFD.gridAt('fx', 250, 150, 1.5, 0.6)	227.864941558,290.371569381,654.35450379,355.825681629,283.297361193,126.82154029,667.778899818,64.588368295	308.672854131,267.355222789,754.430009287,281.498977952,212.162637539,84.9342975416,720.399980913,65.0441355002	250,270,700,270,250,150,700,150	328.581616236,244.11540212,805.398692003,191.229581918,161.859986532,115.77118005,760.153625304,232.243181998	no
